name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_6_1,r1_6_2,r1_6_3,r1_6_4,r1_6_5,FoldCh
A2m,38.28735,38.00864,37.90561,37.95139,37.93006,37.72986,37.54272,37.42561,37.49093,37.52773,-0.47324
Apoh,30.37223,30.09182,30.12288,29.41774,29.52809,30.34032,30.09899,30.15955,30.24207,30.14819,0.291272
Serpinf1,26.92048,26.54813,25.45453,25.41503,26.09911,25.14977,25.22232,24.76946,24.14126,24.89546,-1.251802
Cfp,29.8859,29.92181,29.86558,30.91471,29.75113,30.72037,31.30427,31.04746,30.62471,30.84588,0.840712
Col1a1,26.10085,24.94311,25.08995,23.41142,25.06919,25.17032,25.23381,25.4073,25.18295,25.4095,0.357872
Pon1,27.65533,27.10689,27.0476,27.43285,27.35085,27.68392,27.48808,27.70002,27.21521,27.06692,0.112126
Apoc4,24.71461,24.55104,24.96089,23.22744,23.88241,26.1663,26.08115,25.62547,25.68875,25.29063,1.503182
Prdx2,25.99529,25.43905,24.88367,26.50854,20.80877,27.14521,26.33751,26.58649,26.30262,26.75468,1.898238
Apoa2,25.39284,26.66519,26.13843,26.04768,26.61484,30.9194,31.4115,31.41503,31.89363,31.42492,5.2411
Itih3,28.89195,28.42045,28.60148,28.52869,28.48911,27.44648,27.67694,27.4251,27.90902,27.70372,-0.954084
Itih4,32.18136,31.75422,31.88191,31.54972,31.72334,31.0397,30.9674,30.71424,30.59557,30.93537,-0.967654
Saa4,26.39098,26.08659,25.89312,26.32265,26.11237,25.34384,25.31569,25.28044,25.46145,25.62187,-0.756484
Plg,34.97857,34.88272,34.8409,34.89681,34.88867,35.03543,34.99673,34.98838,35.01226,35.04661,0.118348
Hspa8,23.31354,25.97248,24.79665,26.13061,25.82265,24.33926,24.0035,25.1731,25.71025,24.26807,-0.50835
Cd5l,31.99203,32.35828,32.28893,32.0037,32.47269,31.92018,31.74719,31.90996,32.09043,31.91299,-0.306976
Vtn,30.36557,29.57407,29.86909,29.93115,29.5995,30.41448,30.44717,30.21535,30.24853,30.22734,0.442698
Egfr,29.89644,29.51587,29.82483,29.17931,29.2826,29.27315,29.0653,29.16761,28.7377,29.27402,-0.436254
Serpina3n,25.52815,24.9162,25.01776,25.31257,25.11629,25.95258,25.63553,25.3695,25.66234,25.9183,0.529456
Gpld1,30.05504,30.35311,30.39213,30.04583,29.90813,29.57165,29.48456,29.54254,29.03753,29.68036,-0.68752
F12,28.27706,27.96014,28.62961,27.92122,28.05383,28.58982,28.5721,28.44466,28.3229,28.64863,0.34725
Cpb2,24.43052,23.78736,25.41203,24.11362,25.19069,24.46413,24.57467,23.48001,23.92152,24.68094,-0.36259
Clu,30.88081,30.44144,30.46791,30.39243,30.42031,31.13038,30.88809,30.88838,31.08512,31.16543,0.5109
C9,29.61045,29.24642,29.28531,29.33191,29.26403,28.04276,27.98212,27.89856,28.01563,28.01041,-1.357728
Serpind1,27.95249,27.55296,27.7145,27.55604,27.51382,26.68552,26.40921,26.40375,26.22647,26.73092,-1.166788
Tfrc,28.40673,27.30295,28.06671,26.81042,27.67694,25.56337,25.42336,24.4491,25.51512,25.79166,-2.304228
Ahsg,32.27481,31.88987,32.26495,31.50956,31.58567,33.025,33.34401,32.55453,32.69077,33.34903,1.087696
Fetub,28.68335,28.35515,28.14822,28.22899,27.87156,27.98604,28.0477,27.64238,27.84966,27.87162,-0.377974
Kng1,32.46354,32.17926,32.29844,31.88453,31.96158,31.66204,31.50668,31.5647,31.63469,31.61197,-0.561454
Hrg,30.74174,30.39703,30.3053,30.27609,30.51164,29.65724,29.6284,29.52949,29.71075,29.62164,-0.816856
Adipoq,29.8054,30.41488,30.21686,29.99564,30.11558,29.17145,28.45994,29.32436,28.87449,29.11056,-1.121512
Serping1,25.56288,25.46026,25.87462,24.21911,25.39248,25.00226,24.65491,24.91169,24.83099,25.71238,-0.279424
C3,36.36856,36.23676,36.11395,36.1177,36.08001,35.63839,35.56274,35.51206,35.414,35.49866,-0.658226
Cfb,31.32625,30.9808,30.9465,30.88314,30.90333,30.73884,30.82252,30.70759,30.7319,30.74943,-0.257948
C2,27.99556,27.36244,27.99615,27.33552,27.26374,24.7897,25.47445,26.10903,25.54813,24.83152,-2.240116
Apom,24.51443,23.5566,23.34787,24.20195,23.92479,24.49247,24.15027,24.32985,24.05986,24.47191,0.391744
Mbl2,29.47363,29.18811,29.30609,29.00892,29.53966,28.39256,28.16332,28.35456,28.13315,28.6107,-0.972424
Rbp4,28.4006,27.87203,27.83418,27.70121,28.07592,27.68652,27.53919,27.29772,27.83328,27.84858,-0.33573
Spp2,27.75487,28.2196,28.04396,28.22927,27.88873,27.23663,27.77165,28.20499,27.21438,27.54834,-0.432088
F13b,31.67522,31.19331,31.15237,31.04642,31.40274,33.00788,32.68556,32.77477,32.63121,32.78998,1.483868
C4bp,33.25237,32.76497,32.85175,32.59312,32.79715,32.28088,32.19534,32.177,32.26992,32.47733,-0.571778
Pigr,26.44277,25.81184,25.52895,25.96351,25.42005,25.49796,25.03502,25.15518,25.00015,22.98536,-1.09869
Apcs,25.82721,25.74235,25.82505,25.77125,25.86387,24.32024,24.17181,24.26213,23.8292,24.52031,-1.585208
Hc,33.80097,33.70203,33.86903,33.55202,33.58318,32.36883,32.32029,32.24244,32.15464,32.30359,-1.423488
Gsn,32.01551,32.67485,32.67459,32.89005,32.46521,32.18032,32.04039,32.06224,31.97995,31.97815,-0.495832
Fcna,31.26198,31.8049,27.62031,31.71108,31.33047,30.29691,30.34043,30.04479,30.18624,30.31721,-0.508632
Cat,25.98954,28.21956,28.67684,28.39954,26.6599,27.35203,27.6454,28.23781,28.19751,28.197,0.336874
F2,31.88041,31.55096,31.63348,31.60673,31.4886,30.82994,30.69644,30.68829,30.72988,30.71874,-0.899378
Car2,26.05928,26.12631,26.32402,25.98446,23.74909,25.22494,24.96534,22.73564,22.83474,23.19612,-1.857276
Bche,21.90514,22.82074,23.07063,22.40802,20.82058,22.4354,22.25121,22.59846,23.06961,21.30811,0.127536
Ambp,29.27026,28.94397,28.65854,29.01193,28.95396,28.49518,27.78157,28.0379,27.98799,28.1161,-0.883984
Orm1,23.30354,22.41887,22.85291,22.0459,22.90947,24.04068,26.0049,24.56424,26.62226,26.08257,2.756792
Vcp,24.27355,23.54828,25.32893,25.01278,24.42143,26.60414,26.74317,25.95821,26.57557,27.02284,2.063792
Hgfac,25.81565,27.85442,27.66675,25.98644,26.80637,27.61147,27.56638,27.25575,27.95283,27.16883,0.685126
Alb,37.59502,37.62711,37.54797,37.66541,37.41832,38.34212,38.19592,38.29981,38.09491,38.12222,0.64023
Pf4,25.33579,25.38617,24.67632,24.22626,24.0554,26.894,27.85013,27.46817,27.62631,28.07163,2.84606
C8b,33.04741,33.03151,32.95712,32.94658,32.88296,31.49772,31.43331,31.6154,31.85471,31.57853,-1.377182
Igsf10,29.8034,29.54514,28.87596,29.6493,29.60229,31.52599,31.22986,31.40928,31.87913,31.76916,2.067466
Acta1,29.07743,29.4847,29.52113,28.57246,28.44427,27.62471,27.47923,27.67949,27.57672,27.4763,-1.452708
Ecm1,28.75156,28.78069,28.70032,28.61077,28.668,28.3195,27.9603,28.42374,28.04921,28.22384,-0.50695
Actg1,29.07743,29.4847,29.52113,28.57246,28.44427,27.62471,27.47923,27.67949,27.57672,27.4763,-1.452708
Mst1,24.91242,24.48093,25.0571,24.59474,24.59986,24.12731,24.19798,24.03859,24.1686,24.2,-0.582514
Mmrn1,22.25281,27.15682,26.14847,25.59366,26.73428,27.50862,27.75888,28.03291,27.18999,27.2787,1.976612
Gpx3,29.38482,29.3652,29.36626,28.95521,29.56142,28.42862,28.31367,28.15398,28.36043,28.12273,-1.050696
Aldoa,23.4716,24.08497,24.0535,23.89791,23.98329,24.50149,24.47358,24.48567,26.22429,24.05895,0.850542
Gpx1,28.15166,28.21891,28.64997,27.99852,27.88174,27.54517,27.25728,27.37294,27.22582,27.34723,-0.830472
Apoc2,25.81103,25.43049,25.15623,25.76471,25.24071,27.45959,28.22683,27.24771,26.90976,27.88291,2.064726
Grn,25.37249,25.80848,26.00455,25.79258,25.93935,25.81181,25.8952,25.58184,25.67339,25.56288,-0.078466
Reln,24.94913,25.89804,26.37426,25.15545,25.27899,25.98203,25.98603,26.53874,25.43539,26.44785,0.546834
Igfals,28.17174,27.33219,27.46817,27.46217,27.19704,25.94519,26.14585,25.03808,25.701,25.33036,-1.894166
Acta2,29.07743,29.4847,29.52113,28.57246,28.44427,27.62471,27.47923,27.67949,27.57672,27.4763,-1.452708
F13a1,32.05342,32.05876,32.33666,31.92483,32.01837,32.64746,32.6513,32.5957,32.53034,32.77154,0.56086
Hspa1a,23.31354,25.97248,24.79665,26.13061,25.82265,24.33926,24.0035,25.1731,25.71025,24.26807,-0.50835
Mbl1,31.02499,31.17212,31.26997,31.19102,31.07788,30.45307,30.57272,30.41084,29.96168,30.07202,-0.85313
C1qb,31.6288,31.17962,31.18074,31.0399,31.2049,33.0178,32.67842,32.84883,32.78548,32.96187,1.611688
Sepp1,26.67963,25.98327,26.03574,26.21343,24.57213,25.13927,25.10933,24.88344,25.9655,25.31403,-0.614526
C1qc,30.33947,30.07163,30.72363,30.34488,30.42672,30.62558,30.36307,30.51672,30.313,29.91199,-0.035194
