name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
Cpn1,29.2902,28.83545,29.13261,28.76091,28.80203,28.87256,29.11476,29.77596,29.06618,29.12647,0.226946
Ces1c,31.80605,31.49734,31.61263,31.22136,31.02598,31.91574,32.01215,32.28923,32.05342,32.14328,0.650092
Cpn2,31.18341,30.86938,30.80901,30.75875,30.80062,30.33522,30.5229,31.03065,30.40852,30.40111,-0.344554
Mup19,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,-0.576926
Mup18,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,-0.576926
Mup17,25.50984,26.77869,27.54281,25.25198,26.57816,25.68667,25.34875,24.71811,25.50715,24.37195,-1.20577
H2-Q10,31.02538,30.60072,30.84954,30.49762,30.38751,31.54632,31.30443,31.91396,31.58714,31.51018,0.900252
Mup12,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,-0.576926
Emilin1,22.30167,24.80302,24.48302,24.1149,24.79045,24.97614,24.90284,21.50253,24.18177,24.88413,-0.00913
Hba-a2,33.41072,32.86679,32.79543,32.82943,32.93859,34.64919,34.67677,35.09753,34.6358,34.56138,1.755942
Tcn2,22.03066,21.66154,21.46976,23.60162,20.78213,21.46064,21.94669,22.75937,21.52535,21.2854,-0.113652
Man2b1,24.50215,24.66747,25.22129,23.66036,24.91871,24.90545,24.02284,26.20628,23.80823,25.11104,0.216772
Cir1,23.79937,23.78267,24.07292,23.32031,23.58909,23.70314,24.16116,24.69232,23.84153,24.05209,0.377176
