name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_3_1,r1_3_2,r1_3_3,r1_3_4,r1_3_5,FoldCh
A2m,38.28735,38.00864,37.90561,37.95139,37.93006,37.09152,36.89859,36.9088,36.92968,37.01203,-1.048486
Apoh,30.37223,30.09182,30.12288,29.41774,29.52809,30.4007,30.56466,30.6254,30.55371,30.49791,0.621924
Serpinf1,26.92048,26.54813,25.45453,25.41503,26.09911,25.06768,22.70625,22.66491,24.10725,24.09965,-2.358308
Cfp,29.8859,29.92181,29.86558,30.91471,29.75113,29.81783,30.22849,31.16728,30.92705,30.90182,0.540668
Col1a1,26.10085,24.94311,25.08995,23.41142,25.06919,20.06483,24.59098,24.73892,24.44266,22.55462,-1.644502
Pon1,27.65533,27.10689,27.0476,27.43285,27.35085,25.41371,27.13995,27.19892,27.59235,27.52343,-0.345032
Apoc4,24.71461,24.55104,24.96089,23.22744,23.88241,26.08286,25.56755,26.03842,25.55783,25.9766,1.577374
Prdx2,25.99529,25.43905,24.88367,26.50854,20.80877,20.94139,25.96849,23.15036,25.20172,25.19035,-0.636602
Apoa2,25.39284,26.66519,26.13843,26.04768,26.61484,31.54342,31.62606,32.00624,32.39854,31.87335,5.717726
Itih3,28.89195,28.42045,28.60148,28.52869,28.48911,28.83587,28.40592,28.69272,28.84536,28.90423,0.150484
Itih4,32.18136,31.75422,31.88191,31.54972,31.72334,32.1034,32.20137,32.23683,32.11849,32.05743,0.325394
Saa4,26.39098,26.08659,25.89312,26.32265,26.11237,28.28034,28.23904,28.23635,28.58057,28.13936,2.13399
Plg,34.97857,34.88272,34.8409,34.89681,34.88867,35.02705,35.01313,34.99374,35.00148,34.9677,0.103086
Hspa8,23.31354,25.97248,24.79665,26.13061,25.82265,23.15618,22.85986,24.96455,22.94887,23.63356,-1.694582
Cd5l,31.99203,32.35828,32.28893,32.0037,32.47269,31.5319,31.6477,31.61667,31.4179,31.3871,-0.702872
Vtn,30.36557,29.57407,29.86909,29.93115,29.5995,30.92755,30.87196,31.36192,31.23489,31.07202,1.225792
Egfr,29.89644,29.51587,29.82483,29.17931,29.2826,29.72975,29.65282,29.45057,29.4641,29.45413,0.010464
Serpina3n,25.52815,24.9162,25.01776,25.31257,25.11629,27.93315,28.07337,28.04411,28.28251,27.98512,2.885458
Gpld1,30.05504,30.35311,30.39213,30.04583,29.90813,29.49163,28.87109,29.23863,29.15902,28.88806,-1.021162
