name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
Apob,-0.733735355,-0.866886251,-0.931797472,-0.868861716,-0.781263648,-0.916741935,-0.551444276,-0.802815793,-0.896280545,0.078056636
B2m,0.602781834,0.36310758,-0.012589744,0.420080798,0.473524271,0.549344576,0.028009417,0.441725096,0.543838254,0.067869969
Trf,2.255409318,2.294335348,2.307484901,2.316465901,2.326712157,2.260125134,2.016546545,2.251400474,2.251906703,-0.069392139
C1s1,-0.241706654,-0.253853336,-0.219719417,-0.236929746,-0.155425937,-0.769634837,-0.537759306,-0.706554704,-0.43023007,-1.467539764
C1ra,-0.165890227,-0.161710951,-0.202793669,-0.120574782,-0.269168566,-0.575827031,-0.42818988,-0.627652978,-0.525178859,-1.328620896
C1s2,-1.512910047,-1.99884302,-1.859296556,-1.667732829,-1.614413118,-2.419650211,-2.004034933,-2.119950613,-2.369012513,-2.071760553
Gc,0.954977956,0.973380204,1.016910572,0.977274345,0.971080367,0.969931812,1.014257535,0.999497044,1.016552036,0.231426181
Serpina3m,0.001254878,-1.134767998,-1.13112508,0.472429856,-1.523418489,-0.40243698,0.127029871,-0.359406238,-0.472378615,1.407220073
Cfh,1.319119107,1.332730966,1.367769496,1.322379747,1.318058239,1.262984419,1.237872862,1.277396779,1.262721384,-0.06708946
Crp,-0.132017113,-0.311749954,-0.246407054,-0.320465535,-0.254246423,-0.158067415,0.030887632,-0.125937681,-0.114936575,0.576697427
Hpx,1.60470896,1.499791313,1.504513054,1.585679104,1.557025096,1.351769483,1.308783648,1.350673193,1.315209911,-0.581186111
Ttr,-0.169123993,0.047793199,-0.120417263,-0.099817863,-0.107801575,0.065172718,0.225967386,0.199893541,0.012686661,0.809661682
Cp,1.552058808,1.53138902,1.545382154,1.49186756,1.564499289,1.561291436,1.487241935,1.553391249,1.54667789,0.224505886
Serpinf2,0.966661906,0.976968849,0.772060281,0.824638017,0.906633821,0.843648753,0.942037654,0.908230488,0.847582196,0.12897677
Apoe,0.988644275,0.859024564,0.891543032,0.885335789,0.931769995,0.843466062,0.878239467,0.889669026,0.865531295,-0.017268332
Serpinc1,0.581644742,0.515669056,0.521216174,0.432205217,0.451975605,0.511434846,0.641721488,0.541982845,0.555259924,0.318230672
Hp,0.881425941,0.480648376,0.562345874,0.710201986,0.766374602,0.392879341,0.713275613,0.517886551,0.677565303,-0.265844977
Klkb1,0.566145414,0.524615282,0.565619338,0.516278848,0.487666977,0.57536031,0.696414295,0.570417041,0.599731701,0.385482664
Apoa1,1.479163369,1.52545159,1.526185457,1.448840196,1.474856209,1.791850113,1.659047153,1.695875032,1.772412388,1.099602155
Lrp1,-0.800783649,-0.622874466,-0.846142284,-0.936197378,-0.854890224,-0.930877304,-0.565575325,-0.962085033,-0.869398192,-0.154626621
