name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
Il1rap,-0.533575337,-0.663127138,-0.711866455,-0.568572881,-0.620476641,-0.697820942,-0.367601664,-0.485037351,-0.552319645,0.283888507
Amy2a2,-0.421647235,-0.483246005,-0.439049457,-0.516710313,-0.458713371,-0.407822273,-0.854340525,-0.274607757,-0.282547644,-0.101216162
Psma2,-0.945682721,-1.425349325,-1.43836796,-1.196358872,-1.128952722,-1.546600264,-1.405274336,-1.595995169,-1.571019602,-1.298306062
Katnal2,-1.354313354,-1.535165049,-1.419532913,-1.472474545,-1.410263718,-1.352653394,-0.943513629,-1.157194957,-1.232355244,0.811858751
Mug1,2.102491749,2.183146159,2.188018105,2.237086902,2.161860009,2.246736889,1.995477743,2.19728528,2.231610393,0.278187915
Amy1,-0.421647235,-0.483246005,-0.439049457,-0.516710313,-0.458713371,-0.407822273,-0.854340525,-0.274607757,-0.282547644,-0.101216162
Bpifa2,-1.442291945,-2.16583122,-1.577911645,-1.40742809,-1.237483361,-1.350000285,-1.025780362,-1.164198161,-1.35793766,1.062198237
Colec11,-0.448535829,-0.470141975,-0.563983549,-0.418344679,-0.414437699,-0.853250021,-0.586614986,-0.723386693,-0.900212988,-1.16198973
Angptl6,-0.912621279,-0.821072916,-0.847514426,-0.893748397,-0.641592287,-1.000907918,-0.975552822,-1.14095497,-0.963872743,-0.85347224
Cpn1,0.339934324,0.224964813,0.307374704,0.22966039,0.269167547,0.225209971,0.364435523,0.302413306,0.357263005,0.191390496
Ces1c,0.99026762,0.936251229,0.966859287,0.894652078,0.852813332,0.933679933,1.090725248,1.083530317,1.084583837,0.595920364
Cpn2,0.829318627,0.76845338,0.753161413,0.76962137,0.793670629,0.773023713,0.815588978,0.703713159,0.775903027,0.065354655
Mup19,0.323612983,0.220277931,0.276770079,0.187984388,0.258775059,-0.11128763,0.109830071,-0.093289671,-0.034166961,-1.000989379
Mup18,0.323612983,0.220277931,0.276770079,0.187984388,0.258775059,-0.11128763,0.109830071,-0.093289671,-0.034166961,-1.000989379
Mup17,-0.637267807,-0.324624182,-0.115383415,-0.718706487,-0.314457243,-1.446763762,-0.379840802,-1.961542233,-0.681384244,-2.538503771
H2-Q10,0.788468747,0.696664459,0.763939113,0.699045142,0.685255462,0.738394239,0.862483258,0.72854881,0.738225105,0.27402197
Mup12,0.323612983,0.220277931,0.276770079,0.187984388,0.258775059,-0.11128763,0.109830071,-0.093289671,-0.034166961,-1.000989379
Emilin1,-1.46656199,-0.852545034,-0.929039891,-1.02602781,-0.783617703,-1.056377791,-0.661022668,-0.978087185,-1.037163788,0.191544197
Hba-a2,1.405065931,1.302183399,1.281388349,1.329268991,1.354752118,1.753765872,1.651757469,1.618278813,1.680530159,1.461940287
Tcn2,-1.536616574,-1.691983197,-1.730323153,-1.164753219,-1.835547411,-1.761376626,-1.415379471,-1.781459854,-1.3204489,-0.129953916
Man2b1,-0.897750093,-0.888765491,-0.732719828,-1.14887742,-0.74995759,-0.634849834,-0.580302639,-0.503249816,-0.618723585,0.976978371
Cir1,-1.079414832,-1.125193827,-1.038093297,-1.240783544,-1.098898488,-1.292294493,-0.854786603,-1.570844129,-1.015974952,-0.374231661
