name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_3_1_norm,r1_3_2_norm,r1_3_3_norm,r1_3_4_norm,r1_3_5_norm,FoldCh_norm
A2m,2.665647787,2.676142526,2.640282603,2.713593332,2.664696328,2.354658665,2.392689131,2.371437389,2.385529509,2.351500719,-0.459975289
Apoh,0.619633088,0.560680757,0.57070637,0.4071834,0.459712235,0.702708495,0.746873771,0.73933614,0.723125582,0.718755101,0.490027271
Serpinf1,-0.272625176,-0.386232362,-0.670696867,-0.674638575,-0.440177476,-0.614003552,-1.295064154,-1.328386061,-0.957657173,-0.884950539,-1.204902733
Cfp,0.493919476,0.515252207,0.502285396,0.811773051,0.518246085,0.558799049,0.659522987,0.880088444,0.82046636,0.819993991,0.443815019
Col1a1,-0.484494994,-0.815111438,-0.767645637,-1.216159027,-0.710466137,-1.849197281,-0.805333831,-0.789665891,-0.870205867,-1.272207907,-0.798944
Pon1,-0.08267052,-0.236925516,-0.247069192,-0.129277553,-0.111675138,-0.528569432,-0.143006654,-0.15068555,-0.048988543,-0.026789837,-0.059903989
Apoc4,-0.842830359,-0.919876874,-0.801965151,-1.26588374,-1.021920596,-0.363357626,-0.551580805,-0.452123227,-0.579448071,-0.414498369,1.03341479
Prdx2,-0.511781669,-0.682590791,-0.82249942,-0.37909302,-1.828556101,-1.632776358,-0.447400113,-1.202291343,-0.672296478,-0.611569692,-0.225726898
Apoa2,-0.667511659,-0.354952636,-0.488834823,-0.503650751,-0.30483107,0.984843793,1.022669118,1.098006715,1.204127318,1.063505218,3.38813309
Itih3,0.236988904,0.114072228,0.166137114,0.166897737,0.187045899,0.316355076,0.185944387,0.23732617,0.277708218,0.319303749,0.221907943
Itih4,1.087283177,1.004892403,1.038465971,0.983398718,1.03582609,1.123101743,1.172158303,1.15790203,1.131110001,1.109644346,0.321383489
Saa4,-0.409497995,-0.509560949,-0.554067427,-0.429333954,-0.436697568,0.179195822,0.142582104,0.118784927,0.208669635,0.127591263,1.349975768
Plg,1.810346476,1.840862167,1.825317806,1.888024712,1.866524403,1.844945122,1.902769124,1.874004181,1.882790749,1.839095229,0.194951554
Hspa8,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-1.085949105,-1.255149962,-0.731058926,-1.259681094,-1.00177467,-0.827425707
Cd5l,1.03834242,1.166303909,1.146700346,1.106096975,1.232482926,0.981999528,1.02829208,0.996816645,0.94844547,0.941628041,-0.26341625
Vtn,0.617911515,0.422332237,0.503218772,0.545943945,0.478452829,0.832786714,0.826722942,0.930645815,0.900729351,0.862654137,0.833461605
Egfr,0.496644008,0.406780554,0.491449194,0.342742355,0.395286684,0.537052272,0.509940259,0.434176273,0.439032033,0.457134618,0.142275183
Serpina3n,-0.632534773,-0.822302087,-0.786842334,-0.702330684,-0.698105375,0.0934753,0.099534229,0.068850951,0.130956579,0.088931446,1.777353791
Gpld1,0.537641229,0.630500332,0.642305076,0.576938782,0.559448625,0.478260917,0.306814674,0.379125259,0.359488656,0.315250785,-0.444435469
F12,0.078043243,-0.00892769,0.173617417,0.002715372,0.072812514,0.31404411,0.28235583,0.176181466,0.201319668,0.37635856,0.466544649
Cpb2,-0.916266051,-1.123940607,-0.681998427,-1.026373759,-0.678580095,-0.806576596,-0.746110847,-0.860005678,-0.989547007,-0.926583031,-0.027582256
Clu,0.751098203,0.654103084,0.662456422,0.67061519,0.693863381,1.02312533,1.018150481,1.054883334,0.938751545,0.997209047,0.765791389
C9,0.422717176,0.334780537,0.347980544,0.383985921,0.390413237,0.220943807,0.108659848,0.141790817,0.155796285,0.151031785,-0.46022439
Serpind1,-0.005856305,-0.117730684,-0.069727772,-0.095982698,-0.068905852,-0.205923107,-0.258799645,-0.257504362,-0.254399121,-0.321260135,-0.42491458
Tfrc,0.11156222,-0.184536118,0.023931579,-0.297503193,-0.026097201,-0.866970319,-0.742254805,-0.846090972,-0.789072039,-0.753483602,-1.625267249
Ahsg,1.111439485,1.041139582,1.140323607,0.972544579,0.999696449,1.504265366,1.543897379,1.469290657,1.5547043,1.531232853,1.122784107
Fetub,0.183066959,0.096623346,0.045606642,0.085897103,0.024978202,0.260161088,0.160433188,0.215746298,0.136843852,0.238881104,0.264496284
Kng1,1.160225145,1.118467787,1.149229236,1.073888615,1.098348976,1.090970436,1.089497651,1.08871033,1.043528331,1.026038482,-0.029054114
Hrg,0.715149378,0.642236241,0.619215324,0.639171701,0.717831712,0.541029799,0.510987419,0.462119974,0.524999788,0.483487659,-0.309311153
Adipoq,0.473110672,0.647005958,0.595697443,0.563373811,0.613891089,0.014087713,0.067994715,0.103807851,-0.03868451,0.206482454,-1.083030828
Serping1,-0.62355726,-0.676923244,-0.558986929,-0.997862725,-0.625623022,-0.569258225,-0.647249103,-0.732929112,-0.729010375,-0.672732609,0.002879749
C3,2.169651195,2.202676615,2.163846063,2.217997563,2.179175573,1.921908171,2.002366219,1.960630175,1.956269557,1.935449007,-0.34357906
Cfb,0.866241976,0.798226035,0.789722625,0.803240552,0.820625488,0.930548451,0.852091229,0.818754123,0.815608968,0.769573811,0.112814133
C2,0.005277052,-0.168639733,0.005168331,-0.155583164,-0.134535987,-0.653931899,-0.642013304,-0.585015553,-0.635056474,-0.628109897,-1.209529873
Apom,-0.894575781,-1.185602228,-1.23089791,-1.002500599,-1.010798535,-0.929302191,-1.019151879,-1.057996075,-1.019848997,-1.000691874,0.048237777
Mbl2,0.387349963,0.319199461,0.353506342,0.296690644,0.462748626,-0.071225427,-0.020268111,0.005384099,-0.018681337,0.12762886,-0.772515387
Rbp4,0.109977649,-0.032471655,-0.037902579,-0.056747256,0.078609737,-0.149442718,0.066142048,0.053003719,-0.000730106,0.015058212,-0.0387156
Spp2,-0.056939981,0.060402889,0.017881921,0.08597278,0.029484238,-0.022519856,-0.141767212,0.007098437,-0.051337716,-0.105555704,-0.19688917
F13b,0.956448789,0.855011054,0.844467381,0.847370627,0.95168893,1.146566931,1.177209614,1.122277578,1.125639895,1.12118414,0.619722545
C4bp,1.364133333,1.27497597,1.296364911,1.265400923,1.317633092,1.049069374,1.149801575,1.087112879,1.070412157,1.08737184,-0.378020997
Pigr,-0.396110567,-0.582977184,-0.65090717,-0.526399578,-0.618387646,-0.64584352,-0.745175419,-0.80255719,-0.824969286,-0.766422008,-0.492447164
Apcs,-0.555229419,-0.60154568,-0.572168537,-0.578362146,-0.501913053,-0.130051348,-0.04092288,-0.117133888,-0.042501591,0.003781596,1.06011639
Hc,1.505943395,1.525368755,1.56687905,1.524565113,1.5239161,1.105058436,1.111612728,1.074813806,1.058900946,1.071117372,-0.869901441
Gsn,1.04441187,1.250894911,1.24925469,1.345652902,1.2305199,0.970965656,0.969271771,0.910764695,1.044524318,0.96048172,-0.464059866
Fcna,0.849628537,1.018434659,-0.094774688,1.02700987,0.93272264,0.489433052,0.479741526,0.435662032,0.333207115,0.427335178,-0.637767567
Cat,-0.513268012,0.0603922,0.186176774,0.131992058,-0.293005679,-0.680019143,-0.50683097,-0.372123408,-0.560774619,-0.493524909,-0.974751431
F2,1.009489268,0.950579086,0.972403699,0.998806946,0.974221733,0.903757548,0.832532989,0.79446248,0.828937464,0.793661002,-0.256883884
Car2,-0.495240608,-0.498947326,-0.439482905,-0.520737371,-1.056908638,-0.676076181,-0.862841864,-1.021566403,-0.933258099,-1.397471327,-0.882307591
Bche,-1.569062799,-1.38223215,-1.30462131,-1.487350337,-1.825456725,-1.39363341,-1.691584276,-1.849731679,-1.285868772,-1.879688874,-0.35251713
Ambp,0.334779944,0.253962556,0.181310456,0.297504164,0.309039533,0.177860104,0.211863538,0.128322878,0.121531205,0.230211219,-0.203755945
