name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_5_1_norm,r1_5_2_norm,r1_5_3_norm,r1_5_4_norm,r1_5_5_norm,FoldCh_norm
Pf4,-0.682258768,-0.696720911,-0.877637737,-0.995930277,-0.976521696,-0.408307541,0.086812416,-0.02241088,0.157805697,0.016411463,2.324117671
C8b,1.311152307,1.346198403,1.324384802,1.3609314,1.340152773,1.025227198,1.010733871,1.076875258,1.030035377,1.015072501,-0.853482566
Igsf10,0.472593683,0.414601821,0.239126577,0.469767673,0.479185027,1.062364254,0.964858748,1.085654918,1.073427602,1.166373028,1.901713848
Acta1,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
Ecm1,0.200698866,0.210332336,0.192420554,0.189081694,0.233993175,0.258729317,0.147481919,0.263336792,0.217263924,0.18735035,0.031842851
Actg1,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
Mst1,-0.791697569,-0.93861104,-0.776381078,-0.896340309,-0.833635487,-0.855298858,-0.92462355,-0.912044155,-0.839052332,-0.774960726,-0.057634087
Mmrn1,-1.479192029,-0.223583669,-0.486164995,-0.626359819,-0.273485647,-0.313022153,-0.261985849,-0.449530186,-0.264394189,-0.249726961,0.896357206
Gpx3,0.36439307,0.366519865,0.369506692,0.282174314,0.468459245,0.155943445,0.183612449,0.204926044,0.218198598,0.241135088,-0.483308436
Aldoa,-1.164141562,-1.044415927,-1.043257445,-1.084674215,-0.995445996,-1.136953287,-0.960076148,-0.898723383,-1.596280802,-0.896406754,-0.116594716
Gpx1,0.045628037,0.060218513,0.179031529,0.023607427,0.027649806,-0.001203979,-0.048749801,-0.133242143,-0.077661967,-0.116597485,-0.410334519
Apoc2,-0.559411859,-0.684878117,-0.750020522,-0.580129728,-0.665453019,0.010975827,-0.035060395,-0.215305953,-0.149920031,-0.213143802,1.50969266
Grn,-0.672772021,-0.583875013,-0.524436066,-0.572597236,-0.482104341,-0.575205073,-0.67455235,-0.490944277,-0.512729194,-0.550323567,0.008993215
Reln,-0.782208237,-0.559943592,-0.426123131,-0.744795881,-0.655406947,-0.304044538,-0.495004677,-0.631474571,-0.328170089,-0.559808672,0.482706182
Igfals,0.050818606,-0.176722867,-0.135231614,-0.121353166,-0.152040506,-0.415361755,-0.53349729,-0.341122089,-0.415769782,-0.403993549,-0.914056432
Acta2,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
F13a1,1.054211396,1.086268856,1.159392663,1.084780592,1.113252748,1.122015814,1.175762073,1.192659013,1.154305434,1.155936792,0.196977879
Hspa1a,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
Mbl1,0.788367934,0.849348852,0.875739462,0.886452014,0.866433789,0.605659365,0.681168567,0.627222907,0.651528889,0.657620289,-0.584479066
C1qb,0.944449476,0.851352935,0.852011505,0.845608451,0.899768481,1.166460232,1.153614541,1.192067156,1.134749984,1.210324175,0.861628554
Sepp1,-0.334883568,-0.537169194,-0.516142051,-0.458853104,-0.840912853,-0.836380621,-0.423240056,-0.937592222,-0.759454483,-0.737908552,-0.59483295
C1qc,0.61116481,0.555285766,0.730457244,0.657763738,0.6955456,0.550175611,0.509323687,0.445533313,0.621468746,0.526152016,-0.330629666
C4b,1.497883538,1.435281222,1.431707075,1.467126826,1.439458766,1.371340386,1.352891613,1.335110852,1.324885976,1.342408194,-0.286051457
Fbln1,-0.16272884,0.15300755,0.076969135,0.081283554,0.216777337,-0.41049453,-0.162684944,-0.231410843,-0.122139452,-0.105186537,-0.802901049
Serpina6,-1.673815096,-1.650618927,-1.477216075,-1.490728742,-1.438228958,-0.604460618,-0.722175682,-1.446772684,-0.36599062,-0.323228665,2.443737232
Tgm2,-1.421413347,-1.475945737,-1.461641196,-0.975011195,-1.496035859,-0.727289539,-0.873357006,-0.775585203,-0.752161432,-0.502132945,1.827773812
Pglyrp2,-0.790330133,-0.929595339,-0.8924122,-0.949073154,-1.014861053,-0.986972297,-1.189550517,-1.201327047,-0.916339459,-1.069279345,-0.471588922
Serpina10,-0.25541203,-0.479617279,-0.37848905,-0.507877811,-0.489701879,-0.746019873,-0.703754103,-0.647775862,-0.758989743,-0.723083489,-0.860936572
Itih2,0.94941257,0.828260556,0.902461669,0.872692446,0.872795251,1.002931915,0.969382737,0.970871746,0.967555039,0.992418297,0.292617627
Igj,0.852154028,0.926813335,0.942003833,0.871719466,0.899338085,0.742633251,0.705827647,0.64828029,0.692109304,0.661086806,-0.583052673
