name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_3_1,2_3_2,2_3_3,2_3_4,2_3_5,FC_3
Saa4,-1.165635589,-1.374310551,-1.366173562,-0.989969788,-0.78033465,-0.43841551,-0.596435559,-0.412729097,-0.597362744,-0.502880031,0.855471603
Sepp1,0.404115549,-0.825779025,-0.411990301,-0.710224711,-0.886064479,-0.807828245,-0.94123912,-1.050593215,-1.042800243,-0.642897973,-0.631714132
Serpina10,-0.719486948,-0.684975659,-0.791817339,-0.570279555,-0.081106434,-0.481615646,-0.599971214,-0.396882062,-0.490720872,-0.99628645,-0.053864969
Serpina1a,0.925343213,0.84285906,0.877534601,0.967857631,1.02126647,1.645445121,1.731477119,1.79721887,1.680807677,2.381435339,1.368602846
Serpina1b,1.362884944,1.198169337,1.282134326,1.345853282,1.154654101,2.202946638,2.235554473,2.16420636,2.099077029,2.984083226,1.603276101
Serpina1c,-0.577606473,-0.522217599,-0.620840686,-0.474593107,-0.237764915,1.582958713,1.684913537,1.757417853,1.717341894,1.620104729,3.157850848
Serpina1d,0.361812285,0.444292683,0.288218566,0.490504625,0.59099032,0.977329791,0.932426532,0.954518223,0.924845687,1.328024227,0.866331368
Serpina1e,0.358557788,0.356652314,0.316885424,0.574672541,0.64956875,1.535711758,1.534628276,1.67411362,1.569155612,1.780723924,1.728077173
Serpina3k,1.139514996,1.061763207,0.987332281,1.092172639,1.248123327,2.046814248,2.066632325,2.181400956,2.028254301,2.559016155,1.606735002
Serpina3m,-0.152473319,-0.011243607,-0.259715451,-0.005500891,0.037200753,0.23366533,-0.010627304,0.209573326,0.006783846,-0.333167587,0.159031751
Serpina3n,-0.494607743,-0.458253038,-0.589812324,-0.294197871,-0.046051306,0.893577839,0.729308126,1.042644423,0.809062082,1.383528621,1.938296223
Serpina6,-1.030048869,-1.219877328,-1.337414309,-1.51087787,-1.020645303,-0.606476955,-0.62374974,-1.050562044,-0.833650377,-0.666173539,0.622178108
Serpinc1,0.315250946,0.32463855,0.300838614,0.384746973,0.476796199,1.338860289,1.368659147,1.497007604,1.373550094,1.550630912,1.578511304
Serpind1,-0.078185229,-0.223488933,-0.233434553,-0.209253706,-0.249465835,-0.981941333,-0.450497659,-0.811017417,-0.317366782,-0.63811804,-0.662783586
Serpinf1,-0.690100533,-0.69784728,-0.910675149,-0.559644945,-0.518665591,-1.054719019,-0.687379082,-0.869065663,-0.642396062,-0.376834427,-0.137499052
Serpinf2,0.236162799,0.25427491,0.215395126,0.581433419,0.319463717,0.284959103,0.337189034,0.487355607,0.528661846,0.696136793,0.213894031
Serping1,-0.833689942,-0.624545153,-0.821541303,-0.536465152,-0.253719416,-0.651960686,-0.635661411,-0.655944749,-0.63309075,-1.000229385,-0.175954754
Sh3d21,0.658790898,0.733995995,0.412802139,0.507426851,1.074357638,1.132837271,0.942376165,1.02615478,1.129183991,-0.598084999,0.170097604
Spp2,0.050669481,0.203213455,0.197850976,-0.007994904,0.131853646,-0.772786792,-0.852464297,-1.106059035,-1.1237158,-0.823675133,-1.550459091
Tcn2,-0.835302928,-0.88930806,-1.121134292,-0.891321074,-0.300094404,-1.161016536,-0.405310991,-0.848305544,-1.090446153,-0.60068057,-0.097454579
Tfrc,-0.281670335,-0.332189331,-0.355523465,-0.133864914,-0.307606047,-1.014473851,-1.217025199,-1.044227067,-0.659188623,-0.919402132,-1.03016888
Thbs1,-0.430116854,-0.139505932,-0.569697424,-0.262248969,-1.586331084,-0.103214886,0.009077749,0.015044923,-0.057918688,0.938102356,1.068327398
Thbs4,-0.077472093,-0.160935896,0.45535268,-0.695603687,-0.798592182,-1.357598527,-1.060714384,-0.84426286,-0.898857669,-0.949986126,-1.122611357
Tns4,0.264504145,0.35215538,0.296438989,0.645997295,-0.550036346,-0.986357522,-0.898089188,-0.559661247,-1.186135237,-0.8385253,-1.597636954
Ttr,0.014667752,0.095722559,1.101002393,-0.318639695,-0.109533501,0.774784434,0.811883102,0.734491656,0.778253132,0.035514345,0.757893757
Vcp,-1.404183678,-0.647239717,-0.821008674,-1.388543548,-0.392091787,-0.303718249,-1.007144229,-0.850513915,-1.058940824,-0.839677267,0.130409033
Vps4a,0.902375028,0.628407245,0.671013109,0.633306877,0.426165248,-0.971880041,-1.078420048,-0.574146333,-1.128151129,-0.41766947,-2.180118691
Vtn,0.836667916,0.554651227,0.492566061,0.380197153,0.447259294,1.02245112,0.707262569,0.609974104,1.212747191,0.619640352,0.478734195
Vwf,0.734964262,1.041259391,0.958230624,0.762930427,0.664737315,0.986206308,1.024868974,1.040872452,1.005588317,0.495379568,0.18541382
