name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_4_1,2_4_2,2_4_3,2_4_4,2_4_5,FC_4
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,2.909811751,2.851570708,2.919397921,2.890305238,2.935958416,0.636167184
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,1.332207346,0.677431769,0.83020365,0.976946681,0.340414999,-1.66076317
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.196523014,-1.107768127,-1.170174529,-1.104279985,-1.156905555,-2.477127197
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.196523014,-1.107768127,-1.170174529,-1.104279985,-1.156905555,-2.477127197
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.196523014,-1.107768127,-1.170174529,-1.104279985,-1.156905555,-2.477127197
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,0.412434426,0.203193809,0.258864713,0.15859485,-0.283319878,-0.563162309
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.492620529,0.48511948,0.401391193,0.336188419,0.470196736,1.074233401
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,-1.235065437,-1.069926017,-1.097052036,-1.187220223,-0.691697058,0.568520156
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,0.64126372,0.84014803,0.759702837,0.764538993,0.76476845,-0.30471451
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,-1.079536323,0.211306926,-1.162662127,0.349600656,0.599074641,-1.314529089
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,2.722828446,2.715406051,2.794802466,2.831431727,2.78769731,0.465408311
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.622235476,-0.378729222,-0.35427275,-0.401523742,-0.501089352,0.950985975
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.622235476,-0.378729222,-0.35427275,-0.401523742,-0.501089352,0.950985975
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-0.901279464,-0.007490484,-0.049878213,-0.11897685,-0.384527903,1.108338885
Aldob,-1.212248792,-1.364705372,-1.780398656,-1.365466419,-1.368333869,-0.799673228,-1.297879627,-1.256264365,-1.219533299,-0.534858922,0.577308979
Ambp,0.001120749,0.695674979,0.578240536,0.263664665,0.872467348,-0.094945418,-0.304218755,-0.358813266,0.03944206,-0.353270796,-1.289037919
Amy1,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-1.03781616,-1.064974241,-0.869016964,-0.904592652,-0.774275857,0.925698706
Amy2a2,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-1.03781616,-1.064974241,-0.869016964,-0.904592652,-0.774275857,0.925698706
Angptl6,-0.3605225,-0.178674386,-0.420805856,-1.559425978,-0.220486231,-0.659374069,-0.470988135,-0.650773063,-0.644992763,-0.762729764,-0.231944266
Apcs,-0.543801204,-0.456495193,-0.837196793,-0.540366428,-0.151864491,-0.460597602,0.063828838,0.089934172,0.214184979,0.119842711,0.907682031
