name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
F10,-0.918841048,-1.172851045,-1.205414692,-1.035285196,-0.793240672,0.665588655,0.663474921,0.697304922,0.631532516,1.099689645
F12,-0.016959209,-0.341453436,-0.18322611,0.534633122,0.329426052,0.543551607,0.60601532,0.653378838,0.611676473,0.676613201
F13a1,0.450137496,0.779107015,0.231069639,0.371287819,0.552415151,0.80308039,0.77765937,0.771981896,0.922867228,0.79749081
F13b,0.770097261,0.957932301,0.830092567,0.908862715,0.883113209,0.772568883,0.86979119,0.884092016,0.853093513,0.701260526
F2,0.837082832,0.954148999,0.870077793,0.898035295,0.778047854,0.921073827,0.914402975,0.945589528,0.889941501,0.788197786
F5,-0.344141103,-0.485226773,-0.547128625,-0.384798638,-0.268116335,0.502666519,0.486479404,0.497806672,0.50351355,0.707434343
Fbln1,-0.001163881,0.064826469,0.006003959,-0.518110621,-0.500831988,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.356558102
Fcna,0.669529439,0.914392847,0.699041356,0.817660982,0.625654861,0.687973568,0.687892068,0.695499311,0.696023274,0.564885484
Fetub,0.064079043,0.119088776,0.141664043,0.201326871,0.360677725,0.68634894,0.636212482,0.677586972,0.661515656,0.715206045
Fga,2.390896015,2.508361884,2.552791658,2.429376547,2.378494606,1.108630626,1.020617456,0.966841926,1.229288766,0.469528915
Fgb,2.18975259,2.165256821,2.209427971,2.236458664,2.248417433,1.113740744,0.99490036,0.908510815,1.23645829,0.525577311
Fgg,2.651704339,2.651760039,2.66483399,2.398777316,2.136019057,1.08510944,0.979160748,0.898428719,1.223823145,0.415720871
Fn1,1.95210435,1.846360167,1.944542833,1.757485551,1.83140693,1.089668345,1.035771125,0.913541188,1.165333154,0.622470745
Fstl5,-0.507840966,-0.499830002,-0.517654671,-0.226569064,-0.255467529,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.293425784
Gapdh,-2.006716697,-1.437960273,-1.081896377,-1.700310144,-1.599722957,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.915770188
Gc,0.797313148,0.909636172,0.912473438,1.032561732,0.960549341,0.986353891,0.970825908,0.976408744,0.945996936,0.83020272
Gpld1,0.375657508,0.417822689,0.323923737,0.727919097,0.254785947,0.837583701,0.838224682,0.832103672,0.831065492,0.834962163
Gpx3,0.447699866,0.242347802,0.347424636,0.465932591,0.53411475,0.794683025,0.76433865,0.806862134,0.760377034,0.77622893
Grn,0.046587747,-0.570330072,-0.687191052,-1.120517324,-1.520969787,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.167798313
Gsn,1.183332703,1.046858257,0.933251407,0.735070603,0.706210921,0.90655855,0.945686885,0.974235891,0.917348806,0.793108501
H2-Q10,1.079227723,0.664910072,1.096553853,0.894437006,0.665828099,0.89167718,0.90578983,0.910477984,0.891924394,0.764455137
Hba-a2,1.020125553,1.003051191,1.073995925,1.305503364,1.465387002,1.147221756,0.998167761,0.985229688,1.046569353,0.834911423
Hbb-bs,1.256884317,1.252486741,1.28866175,1.402211456,1.432477718,1.184222104,0.985087428,0.962780904,1.017327568,0.779530618
Hgfac,0.015883974,-0.117341346,0.082025891,-1.84218841,-1.446410657,0.52738131,0.468604928,0.48235614,0.429085495,0.776867944
Hmces,1.266199178,1.432350992,1.281941384,1.463099418,-2.269114185,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.607906794
Hp,0.330003798,0.459522964,0.261432214,0.605291804,0.927125625,0.65022031,0.7046383,0.678451701,0.622953775,0.602147217
Hpx,1.494312133,1.41812032,1.511031674,1.562494333,1.596950309,1.082758151,1.09236934,1.100186651,1.061190959,0.771704065
Hrg,0.680350963,0.848274271,0.901005608,1.08298035,1.058536508,0.903996584,0.904590042,0.939313662,0.899708266,0.764484208
