name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_6_1,2_6_2,2_6_3,2_6_4,2_6_5,FC_6
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,2.895965333,2.86160127,2.763138353,2.773707031,2.755903984,0.496017515
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,-0.681180481,1.607179507,-0.987908137,-0.304974068,0.644841452,-2.653721966
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.980930523,-0.667345267,-0.935172077,-1.203061984,-1.543764891,-2.011251895
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.980930523,-0.667345267,-0.935172077,-1.203061984,-1.543764891,-2.011251895
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-0.980930523,-0.667345267,-0.935172077,-1.203061984,-1.543764891,-2.011251895
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,-1.348658789,-0.028354999,-0.00681689,0.018523812,-0.034330164,-1.184480241
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.328316653,-0.569632433,0.097668812,0.200650618,0.212391763,0.280909507
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,-0.669171419,-0.645123565,-1.267219879,-0.905998509,-1.052255258,0.690501281
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,1.038134511,1.102164149,0.96391931,1.021641176,1.103379477,0.253404775
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,-1.166918828,-0.761988968,0.066022059,-0.011860562,-0.99405129,-1.748645818
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,2.954866584,2.951452857,2.84215171,2.878028309,2.820357519,0.69740212
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.654213757,-0.28145403,-0.139434074,-0.261469387,-1.276248908,0.678213465
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.654213757,-0.28145403,-0.139434074,-0.261469387,-1.276248908,0.678213465
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-0.425671245,-0.812561557,-0.620612231,-0.5104466,-0.549317643,0.436674676
Aldob,-1.212248792,-1.364705372,-1.780398656,-1.365466419,-1.368333869,-0.709586121,-1.298040704,-1.192121943,-1.23599673,-0.873193227,0.384875325
Ambp,0.001120749,0.695674979,0.578240536,0.263664665,0.872467348,-0.307401686,-0.560667932,-0.226259665,-1.51473149,-0.532243061,-1.786868926
Amy1,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.831320876,-0.895434952,-1.21750123,-1.160791817,-0.499928804,0.770441749
Amy2a2,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.831320876,-0.895434952,-1.21750123,-1.160791817,-0.499928804,0.770441749
Angptl6,-0.3605225,-0.178674386,-0.420805856,-1.559425978,-0.220486231,-0.720201084,-0.968556133,-0.309127956,-0.432873141,-0.257638087,-0.060602226
Apcs,-0.543801204,-0.456495193,-0.837196793,-0.540366428,-0.151864491,-0.996961476,-1.119206967,-0.594316321,-0.678579847,-0.470906033,-0.534296822
Apeh,-1.099892173,-1.31890958,-1.386201503,-0.94562344,-1.689686433,-0.880279444,-0.66085514,-0.83198221,-0.837485335,-0.875853372,0.611873505
Apoa1,1.787888436,1.698032176,1.887013457,1.801045635,1.670502012,1.670555135,1.715341467,1.604985344,1.699179212,1.66662553,0.091624854
Apoa2,0.343911259,0.469120272,0.18238571,-0.367297981,0.00036417,-0.764066829,0.178380151,-0.391554222,-0.862898155,-0.55047392,-0.969936605
Apoa4,-0.033099436,0.144241698,0.022735578,0.529064163,0.60789747,1.044026995,0.733532245,0.80602055,0.812259348,0.771362668,0.986906287
Apob,-0.312760499,-0.04413367,-0.120041626,-0.150158629,-0.091142598,-0.565673171,-0.294130094,-0.146694937,-0.196906182,-0.161071285,-0.237187329
Apoc1,-0.068017198,0.364759389,-0.074325202,0.415140873,0.396690266,0.400873464,0.707760155,0.589883667,0.530318678,0.274161507,0.512774909
Apoc2,-1.063644087,-1.031950604,-1.07570864,-0.891594013,-0.696334762,-0.573721672,-0.390244799,-0.440232946,-0.544685243,-0.508540579,0.626749136
Apoc3,-0.135080565,-0.337478608,-0.187242568,-0.125867046,0.017700013,1.252412871,1.107666795,1.047243587,1.05928909,0.944558192,2.038082827
Apoc4,-1.137779176,-1.539852302,-0.852515314,-0.686336277,-0.193733446,-0.635776745,-1.058228384,-1.391861979,-0.608427831,-0.881133464,-0.208293976
Apoe,0.914438706,0.974923051,1.202835095,0.941337463,0.180338753,-0.619297605,-0.832122738,-0.028404057,-0.090950847,-0.0268723,-1.807544048
Apoh,0.73088512,0.82709093,0.605407337,0.60334367,0.576579111,0.522544528,-0.608003403,0.616986856,0.561774878,0.627140258,-0.457124986
Apom,-1.107884489,-1.653280516,-1.452008369,-1.083840816,-1.592416134,0.076164105,-0.52655788,-0.123439703,-1.30487E-05,0.016096723,1.915598398
Azgp1,-0.704122095,-0.778222765,-0.685661102,-0.483545009,-0.280374555,-0.25279124,-1.191513193,-0.159518352,-0.548541905,0.060529417,0.177682617
B2m,-0.114801553,0.532323974,-0.243073509,0.548024668,0.777297642,-0.231915146,-0.632477012,-0.471516773,-0.359759247,-0.493735987,-1.215781374
B4galt3,-1.107373624,-1.29308238,-1.636156722,-1.230955006,-1.120140039,-0.661559311,-0.521329912,-1.311238715,-0.863278558,-1.005495824,0.488511599
