name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_5_1,2_5_2,2_5_3,2_5_4,2_5_5,FC_5
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,2.789322341,2.734117909,2.825336509,2.798358229,2.774941181,0.640911816
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,0.789316891,0.883846735,0.955591937,0.903701485,0.675889208,-1.272063116
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.265668118,-1.020797424,-1.257049609,0.128509891,-1.219121215,-1.821512495
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.265668118,-1.020797424,-1.257049609,0.128509891,-1.219121215,-1.821512495
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.265668118,-1.020797424,-1.257049609,0.128509891,-1.219121215,-1.821512495
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,-0.027327533,0.130716943,0.290414338,0.374134124,0.260934034,-0.357730334
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.295405871,0.3572157,0.466176417,0.606190814,0.335128444,0.900711593
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,-0.980444341,-1.265468357,-1.264181567,-1.142411856,-1.162778508,0.17442947
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,1.038581837,1.009044501,1.003596466,0.942673582,0.905418356,0.210917119
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,0.089804579,0.434298549,0.375222869,-0.665830943,0.417337197,-0.547551029
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,2.763662681,2.699418951,2.803851741,2.789134024,2.846336455,0.700655311
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.442226108,-0.645932555,-0.182553688,-0.91818905,-1.230910815,0.353073789
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.442226108,-0.645932555,-0.182553688,-0.91818905,-1.230910815,0.353073789
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-0.098293262,-0.864894208,-1.310187141,-0.344433051,-0.47285034,0.33033103
Aldob,-1.212248792,-1.364705372,-1.780398656,-1.365466419,-1.368333869,-1.404746021,-1.136122827,-0.814683586,-1.107776293,-1.04899467,0.233286794
Ambp,0.001120749,0.695674979,0.578240536,0.263664665,0.872467348,-0.41472739,0.032771014,-0.075107059,0.268589892,-0.278659995,-0.888930119
Amy1,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.623662672,-0.757011641,-1.219611958,-1.003574753,-1.360178744,0.578199032
Amy2a2,-1.632823057,-1.685346753,-1.787956011,-1.463181131,-1.040250835,-0.623662672,-0.757011641,-1.219611958,-1.003574753,-1.360178744,0.578199032
Angptl6,-0.3605225,-0.178674386,-0.420805856,-1.559425978,-0.220486231,-0.553890207,-0.941970629,-1.430331801,-1.065066431,-0.437691531,-0.690026936
Apcs,-0.543801204,-0.456495193,-0.837196793,-0.540366428,-0.151864491,-1.126181287,-0.4580877,-0.174751613,0.043632234,-0.039337333,0.137741818
Apeh,-1.099892173,-1.31890958,-1.386201503,-0.94562344,-1.689686433,-1.039531054,-0.899696003,-1.002817756,-1.095338245,-0.885631742,0.255557236
Apoa1,1.787888436,1.698032176,1.887013457,1.801045635,1.670502012,1.586842265,1.544847321,1.652196651,1.735256669,1.59860026,0.124760791
Apoa2,0.343911259,0.469120272,0.18238571,-0.367297981,0.00036417,-1.018952825,-1.198744206,-1.120865451,-1.379948183,0.097204195,-1.773562312
Apoa4,-0.033099436,0.144241698,0.022735578,0.529064163,0.60789747,0.89001815,0.988432086,0.920066627,0.743750999,0.887100515,1.121982913
Apob,-0.312760499,-0.04413367,-0.120041626,-0.150158629,-0.091142598,-0.102898728,0.199647808,0.065407785,-0.025278272,-0.372635274,0.140808033
Apoc1,-0.068017198,0.364759389,-0.074325202,0.415140873,0.396690266,0.285908914,0.408638545,0.558292414,0.351027116,0.603910108,0.432543061
Apoc2,-1.063644087,-1.031950604,-1.07570864,-0.891594013,-0.696334762,-0.390158205,-0.262919986,-0.324477146,-0.305839721,-0.483640744,0.818222262
Apoc3,-0.135080565,-0.337478608,-0.187242568,-0.125867046,0.017700013,1.225759033,1.33440401,1.255544451,1.025088124,1.113855911,2.268767237
Apoc4,-1.137779176,-1.539852302,-0.852515314,-0.686336277,-0.193733446,-0.976225458,-0.742383061,-1.106754249,-0.812102752,-1.614184755,-0.485932881
Apoe,0.914438706,0.974923051,1.202835095,0.941337463,0.180338753,-0.17133268,0.064819774,-0.397075419,-0.662796277,0.431771324,-1.495601404
Apoh,0.73088512,0.82709093,0.605407337,0.60334367,0.576579111,0.52853046,-0.597050644,0.254809251,-1.085122897,-0.953597901,-1.634611089
Apom,-1.107884489,-1.653280516,-1.452008369,-1.083840816,-1.592416134,0.173239254,-0.463475937,-0.339504631,-0.32285018,-1.656827157,1.188537312
Azgp1,-0.704122095,-0.778222765,-0.685661102,-0.483545009,-0.280374555,-0.164101586,-0.238607577,-0.118461797,-0.197845983,0.222103811,0.695030584
B2m,-0.114801553,0.532323974,-0.243073509,0.548024668,0.777297642,-0.333904937,-1.490128901,-0.986133214,-0.562223636,-0.834889615,-1.924417617
B4galt3,-1.107373624,-1.29308238,-1.636156722,-1.230955006,-1.120140039,-0.554026517,-0.808143114,-0.684473498,-1.040401264,-1.093808537,0.481335568
C1qa,0.192485126,-0.245238983,-0.356243602,-0.020835563,0.119621624,0.721723139,0.786050776,0.829655553,0.713048253,0.620813382,1.342885764
C1qb,1.234367352,1.377671525,1.13355527,1.410970549,0.241665578,0.484571841,0.464592651,0.704022318,0.504608885,0.436995762,-0.714432037
C1qc,0.641727484,0.798621715,0.585751693,0.542002479,-1.441654554,-1.130304084,-0.716566659,-0.546121717,-0.750223236,-1.076861418,-1.735306167
C1ra,0.167644633,-0.023464564,-0.029695777,0.046139693,0.147931992,-0.31072119,0.11654256,-0.286845754,-0.69020353,0.188163422,-0.429694841
C1rb,0.167644633,-0.023464564,-0.029695777,0.046139693,0.147931992,-0.31072119,0.11654256,-0.286845754,-0.69020353,0.188163422,-0.429694841
C1s1,-1.59107993,-1.330010239,-1.386880877,-1.000869825,-0.859037806,-1.151664415,-0.783991388,-1.144891648,-0.637697911,-0.876525897,0.266632072
C1s2,-0.931153676,-0.704529714,-0.223200466,-0.555130181,-0.251390188,-0.380708174,-0.235706713,-0.35494467,-0.35444881,-0.297607815,0.242793906
C2,-1.477265918,-0.513779944,-0.375505209,-0.541783709,-0.557914759,-1.163771359,-1.455944128,-1.526869656,-1.112804584,-1.352201322,-1.225084491
C3,2.054531514,2.052668175,2.045584744,1.95076151,2.02052695,2.243231689,2.184050723,2.247057566,2.307642758,2.255215709,0.806994347
C4b,1.222744522,1.259961517,1.307869007,1.359565344,1.319245773,1.479325542,1.582481422,1.542470713,1.566701159,1.512553944,0.687478126
C4bp,1.358642429,1.552773854,1.409215277,1.564149496,1.482837163,1.098687518,0.762657474,1.105103215,1.251948686,1.212674871,-0.362779665
C8a,1.65955237,1.152158406,1.157485533,1.08143286,1.024615034,0.703862157,1.003253486,0.956471751,0.829107217,0.855103137,-0.329332077
C8b,1.125319687,1.101629552,1.190342769,1.112307534,1.195139332,1.153718471,0.898228935,1.102420468,1.128625122,1.131031483,0.13006782
