name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_2_1,2_2_2,2_2_3,2_2_4,2_2_5,FC_2
A2m,2.793818204,2.803622086,2.799961444,2.685080445,2.663941802,2.939110583,2.87295245,3.044808287,2.992414389,2.80539969,0.692933163
Abcb9,0.758689669,2.069787485,1.997857373,1.990558038,2.187331152,0.392972655,0.674431687,-1.11459276,-0.949124341,-0.801279109,-3.897057035
Actb,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.456427337,0.364520446,-0.569426287,-0.716014657,-1.546337246,-1.780535647
Actbl2,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.456427337,0.364520446,-0.569426287,-0.716014657,-1.546337246,-1.780535647
Actg1,0.018695029,-0.119639662,0.144408713,0.179749656,0.512934966,-1.456427337,0.364520446,-0.569426287,-0.716014657,-1.546337246,-1.780535647
Adipoq,0.755678935,1.056505414,0.555761415,-0.183146703,0.223415192,0.183003541,-0.130385942,0.244210418,-0.723344147,-0.261284474,-1.084712686
Afm,-0.166580458,-0.284365459,-0.114041396,-0.155792693,0.052059706,0.154607709,0.152714591,0.463766669,0.100990059,0.174049226,0.629399638
Agt,-1.890724377,-1.391925729,-1.111117604,-1.497075664,-1.314711598,-1.056619997,-1.488033122,-1.052150072,-0.937258354,-0.813431721,0.53360991
Ahsg,0.942873408,0.93123405,0.956640889,1.053728287,0.996697634,0.730806169,1.315539792,0.997846313,0.795344922,0.864606209,0.04793991
Aifm2,0.389816511,0.512552156,0.511232537,0.481785597,0.667802466,0.547813216,0.478416449,0.546378592,0.222143061,0.334954319,-0.104005187
Alb,2.738206514,2.740877522,2.777925275,2.645033514,2.620034177,2.751769435,2.79936401,2.886102294,2.926286966,2.897522986,0.625143079
Aldh1a1,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.391228109,-0.707424097,-1.317451645,-1.031098066,-1.03406698,0.079489694
Aldh1a7,-1.250861898,-1.276026039,-0.974422154,-1.153432782,-0.449658027,-0.391228109,-0.707424097,-1.317451645,-1.031098066,-1.03406698,0.079489694
Aldoa,-1.254575395,-1.445416683,-1.061849414,-0.265088538,-0.660603253,-0.106631055,-0.218102961,-0.320914663,-0.973446348,-0.354569773,0.886370241
