name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Mup6,0.419076468,0.367538625,0.394524507,0.353426175,0.386580601,0.257518229,0.254534959,0.357963207,0.285747532,0.264130786,-0.713493344,0.272360796,0.354927251,0.295879698,0.478764145,0.442405766,0.437816233,0.400927653,0.412065347,0.512384868,0.684004228,0.487995434
Mup8,0.419076468,0.367538625,0.394524507,0.353426175,0.386580601,0.257518229,0.254534959,0.357963207,0.285747532,0.264130786,-0.713493344,0.272360796,0.354927251,0.295879698,0.478764145,0.442405766,0.437816233,0.400927653,0.412065347,0.512384868,0.684004228,0.487995434
Fbln1,0.187637897,0.336366856,0.301553561,0.304320092,0.36670331,0.276337092,0.290906053,0.210173318,0.297709585,0.324341636,-0.124972384,0.272385137,0.313664288,0.287185741,0.023489554,0.015722137,0.057850834,0.184270846,-0.154705267,-0.042040042,-0.052553231,-0.721728788
Ambp,0.424390561,0.383147417,0.35010544,0.403829597,0.410370498,0.324650452,0.295503778,0.405335073,0.339511468,0.344245744,-0.36219108,0.273457343,0.6078804,0.544130292,0.402070989,0.714176942,-0.156205254,0.555622262,-0.274545358,-0.3630619,-0.153083282,-2.30876882
Ttr,0.184594595,0.287612598,0.209706145,0.220973217,0.213081904,0.292140539,0.291347503,0.394198499,0.344017569,0.359838729,0.844663071,0.279815122,0.328073655,0.7788598,0.120085073,0.214735055,0.454530293,0.278415234,0.664505894,0.630459979,0.517183705,0.665148753
Hgfac,-0.000565858,0.248238969,0.227384434,0.027503037,0.14361883,0.091703715,0.251109107,0.167871396,0.191917862,0.216263921,0.408780957,0.280385911,0.228704579,0.321320961,-0.617706551,-0.465195568,0.229233318,0.02321567,-0.015186076,-0.15655885,0.087832049,0.337475307
Actb,0.400670272,0.450100787,0.45683964,0.349165978,0.347062019,0.430529717,0.49524598,0.407179796,0.373628211,0.397429376,0.169189768,0.281705174,0.227632686,0.349331974,0.361434421,0.531320143,-0.444797403,0.448160437,-0.027030603,-0.083350585,-0.523374226,-1.878913345
Actbl2,0.400670272,0.450100787,0.45683964,0.349165978,0.347062019,0.430529717,0.49524598,0.407179796,0.373628211,0.397429376,0.169189768,0.281705174,0.227632686,0.349331974,0.361434421,0.531320143,-0.444797403,0.448160437,-0.027030603,-0.083350585,-0.523374226,-1.878913345
Actg1,0.400670272,0.450100787,0.45683964,0.349165978,0.347062019,0.430529717,0.49524598,0.407179796,0.373628211,0.397429376,0.169189768,0.281705174,0.227632686,0.349331974,0.361434421,0.531320143,-0.444797403,0.448160437,-0.027030603,-0.083350585,-0.523374226,-1.878913345
Rbp4,0.317412465,0.250419446,0.248101701,0.240795263,0.301309349,0.029836426,0.106437545,0.12375643,0.21504721,0.196782207,-0.992099875,0.291458475,0.250790946,0.26766369,0.318941366,0.348443964,0.507767578,0.250136891,0.493333101,0.488368913,0.49677246,0.610111478
