name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
F10,0.077082121,0.118203781,0.134894925,0.123543441,0.098130309,0.12345188,0.118012401,0.166514173,0.089216382,0.06996431,0.029113411,-0.174548804,,,,,,,,,
Tcn2,-0.488846679,-0.543061646,-0.564479971,-0.286367472,-0.631683364,-0.575204837,-0.535925741,-0.41726014,-0.569895591,-0.605118,-0.295579035,-0.134092365,,,,,,,,,
Serping1,-0.041722471,-0.058835436,-0.00340313,-0.207282596,-0.042177951,-0.008343821,0.011474108,0.094486521,0.038981996,0.038190141,0.749568473,-0.133311217,,,,,,,,,
Orm1,-0.327719834,-0.446524118,-0.388298791,-0.485615917,-0.359669646,-0.403877165,-0.305515542,-0.496240501,-0.300583326,-0.803202346,-0.456439518,-0.094339212,,,,,,,,,
Psma4,-0.064729199,-0.154499787,-0.1278082,-0.170426526,-0.196395436,-0.204398844,0.246412007,-0.088433508,-0.129250182,-0.113150389,0.597680165,-0.087774805,,,,,,,,,
Serpina10,0.13855787,0.035287793,0.0830564,0.024907955,0.024046228,-0.006161659,-0.039315373,0.130582446,-0.01695208,0.026487127,-0.297204599,-0.078004174,,,,,,,,,
Azgp1,0.38787232,0.277352459,0.391941247,0.196387234,0.275245975,0.195992226,0.241404575,0.288823933,0.247881857,0.24359124,-0.427265965,-0.070563174,,,,,,,,,
Serpinf1,0.13012861,0.079836319,-0.056912838,-0.054115445,0.048175755,0.232072922,-0.043678522,-0.019855262,-0.011724193,0.109771743,0.168865016,-0.063772711,,,,,,,,,
Krt10,-3.151001697,-3.176806488,-3.17185189,-3.181064236,-3.161138331,-3.177094432,-3.187318917,-3.144618247,-3.173102898,-3.168559506,-0.193054834,-0.022304046,,,,,,,,,
Serpina1c,-0.697932582,-0.455274995,-0.466394763,-0.656803186,-0.512999743,-0.71809065,-0.115945782,0.174673923,0.126821147,-0.786870443,2.073154724,-0.009293283,,,,,,,,,
Hspa1a,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Hspa1b,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Hspa1l,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Hspa2,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Hspa5,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Hspa8,-0.32645399,0.006457703,-0.140711467,0.037532283,0.012826017,0.163680718,0.110013928,-0.379752867,-0.080161061,0.134836993,0.505373022,-0.007580283,,,,,,,,,
Apcs,-0.008262397,-0.022877173,-0.009717197,-0.008492658,0.018096639,-0.244873112,-0.073418057,-0.005128856,-0.155031958,-0.157905161,-0.861076883,0.007078174,,,,,,,,,
Serpina3n,-0.046118749,-0.128187247,-0.11254719,-0.067237983,-0.077493166,-0.12750562,-0.222157504,-0.059037101,-0.094411555,-0.153683179,-0.325611377,0.030901935,,,,,,,,,
